cct,nombre,
07DCC0494L,JUAN DE LA BARRERA,
07DCC0497I,LIC. ADOLFO LOPEZ MATEOS,
07DCC0499G,ENOCH CANCINO CASAHONDA,
07DCC0501E,FRANCISCO INDALECIO MADERO,
07DCC0503C,LEYES DE LA REFORMA,
07DCC0511L,JOSE MARTI,
07DCC0513J,NIÑOS HEROES,
07DCC0515H,LAZARO CARDENAS DEL RIO,
07DCC0520T,MANUEL LEANDRO,
07DCC0521S,FRAY BARTOLOME DE LAS CASAS,
07DCC0522R,MIGUEL HIDALGO Y COSTILLA,
07DCC0526N,AMADO NERVO,
07DCC0527M,BELISARIO DOMINGUEZ PALENCIA,
07DCC0529K,CHIMALPOPOCA,
07DCC0530Z,PLAN DE AYALA,
07DCC0532Y,XICOTENCATL,
07DCC0534W,CUAUHTEMOC,
07DCC0536U,LA CORREGIDORA,
07DCC0538S,5 DE MAYO,
07DCC0543D,LA LIBERTAD,
07DCC0548Z,NICOLAS BRAVO,
07DCC0551M,LAZARO CARDENAS DEL RIO,
07DCC0553K,SALVADOR NOVO,
07DCC0560U,GUILLERMO PRIETO,
07DCC0562S,PRESIDENTE JUAREZ,
07DCC0563R,GABRIELA MISTRAL,
07DCC0564Q,JOSEFA ORTIZ DE DOMINGUEZ,
07DCC0565P,LIC. BENITO JUAREZ GARCIA,
07DCC0566O,FRANCISCO GONZALEZ BOCANEGRA,
07DCC0567N,JOSE MARIA MORELOS Y PAVON,
07DCC0568M,MI PATRIA ES PRIMERO,
07DCC0569L,LA INSURGENCIA,
07DCC0571Z,MARTIRES DE MI PATRIA,
07DCC0574X,NARCISO MENDOZA,
07DCC0575W,ERASTO URBINA GARCIA,
07DCC0577U,LUZ DEL SABER,
07DCC0578T,JUSTO SIERRA MENDEZ,
07DCC0580H,ANGEL ALBINO CORZO,
07DCC0581G,EMILIANO ZAPATA SALAZAR,
07DCC0582F,NIÑOS HEROES,
07DCC0583E,IGNACIO ALLENDE,
07DCC0586B,NIÑOS HEROES,
07DCC0589Z,SIMON BOLIVAR,
07DCC0592M,CUAUHTEMOC,
07DCC0593L,AMADO NERVO,
07DCC0594K,IGNACIO MANUEL ALTAMIRANO,
07DCC0595J,AQUILES SERDAN,
07DCC0596I,BERNAL DIAZ DEL CASTILLO,
07DCC0597H,MARGARITA MAZA DE JUAREZ,
07DCC0598G,CONSTITUCION,
07DCC0599F,GENERAL FRANCISCO VILLA,
07DCC0600E,TLALOC,
07DCC0601D,MELCHOR OCAMPO,
07DCC0604A,BENITO JUAREZ GARCIA,
07DCC0607Y,ROSARIO CASTELLANOS FIGUEROA,
07DCC0608X,20 DE NOVIEMBRE,
07DCC0611K,JUSTO SIERRA MENDEZ,
07DCC0613I,VICENTE GUERRERO,
07DCC0614H,BENEMERITO DE LAS AMERICAS,
07DCC0616F,AGUSTIN YANEZ,
07DCC0617E,JUSTO SIERRA MENDEZ,
07DCC0618D,VASCO DE QUIROGA,
07DCC0619C,EMILIANO ZAPATA SALAZAR,
07DCC0620S,IGNACIO ZARAGOZA,
07DCC0624O,EL SENDERO DEL SABER,
07DCC0629J,JUAN DE LA BARRERA,
07DCC0630Z,FRANCISCO INDALECIO MADERO,
07DCC0631Y,LIC. BENITO JUAREZ GARCIA,
07DCC0633W,JULIO DE LA FUENTE,
07DCC0634V,LIC. BENITO JUAREZ GARCIA,
07DCC0637S,HIDALGO,
07DCC0639Q,JOSEFA ORTIZ DE DOMINGUEZ,
07DCC0640F,BENITO JUAREZ GARCIA,
07DCC0644B,ANGEL ALBINO CORZO,
07DCC0646Z,JAIME NUNO,
07DCC0647Z,IGNACIO JOSE DE ALLENDE Y UNZAGA,
07DCC0649X,LA PATRIA,
07DCC0651L,AGUSTIN MELGAR,
07DCC0653J,PRESIDENTE JUAREZ,
07DCC0655H,LA INDEPENDENCIA,
07DCC0656G,OTILIO MONTAÑO,
07DCC0660T,BENEMERITO DE LAS AMERICAS,
07DCC0661S,LIC. BENITO JUAREZ GARCIA,
07DCC0663Q,CARMEN SERDAN ALATRISTE,
07DCC0665O,LEONA VICARIO,
07DCC0666N,VICENTE GUERRERO,
07DCC0668L,EL AGRARISTA,
07DCC0669K,LUZ DEL SABER,
07DCC0680G,MARIANO MATAMOROS,
07DCC0684C,LA PATRIA,
07DCC0685B,EL NIÑO ARTILLERO,
07DCC0687Z,NIÑOS HEROES,
07DCC0693K,VICENTE SUAREZ,
07DCC0694J,FRAY BARTOLOME DE LAS CASAS,
07DCC0697G,ENRIQUE PEZTALOZZI,
07DCC0698F,OCTAVIO PAZ LOZANO,
07DCC0704Z,MARIA MONTESSORI,
07DCC0706Y,LIC. ADOLFO LOPEZ MATEOS,
07DCC0711J,SOR JUANA INES DE LA CRUZ,
07DCC0712I,ROSARIO CASTELLANOS FIGUEROA,
07DCC0715F,JOSE SANTOS DEGOLLADO,
07DCC0717D,NIÑOS HEROES,
07DCC0718C,VASCO DE GAMA,
07DCC0719B,BENITO JUAREZ GARCIA,
07DCC0720R,AGUAYO ALFREDO,
07DCC0721Q,LUIS PASTEUR,
07DCC0723O,FRANCISCO INDALECIO MADERO,
